epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,3714.56,0.05921,0.95855,1,0.15442,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,3757.79,0.0585,0.95855,1,0.15496,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,3799.95,0.0546,0.95908,1,0.15477,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,3842.8,0.05275,0.95908,1,0.15755,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,3885.67,0.05343,0.95803,1,0.15474,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,3929.16,0.04793,0.95855,1,0.15667,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,3971.73,0.04629,0.95803,1,0.15577,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,4015.14,0.04969,0.95908,1,0.15552,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,4057.78,0.0467,0.95908,1,0.15648,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,4100.6,0.04823,0.95908,1,0.15662,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,4143.81,0.0447,0.95855,1,0.15632,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,4186.64,0.04471,0.95855,1,0.15814,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,4229.63,0.04437,0.95855,1,0.15757,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,4272.26,0.04123,0.95855,1,0.15723,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,4315.44,0.03978,0.95855,1,0.16255,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,4358.44,0.03835,0.95855,1,0.15769,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,4401.24,0.03484,0.95855,1,0.16016,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,4444.18,0.03912,0.95855,1,0.15935,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,4487.12,0.03472,0.95855,1,0.15919,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,4529.66,0.03092,0.9596,1,0.15964,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,4572.85,0.02959,0.9596,1,0.16027,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,4615.66,0.03295,0.9596,1,0.16096,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,4658.5,0.03011,0.9596,1,0.16465,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,4701.29,0.02967,0.95855,1,0.16245,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,4743.9,0.03027,0.95803,1,0.16204,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,4786.53,0.02846,0.95803,1,0.16315,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,4829.28,0.02636,0.95855,1,0.16292,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,4871.55,0.02753,0.95855,1,0.16402,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,4928.36,0.02664,0.95855,1,0.16334,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,4970.68,0.0242,0.95855,1,0.1645,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,5013.23,0.0261,0.95855,1,0.16676,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,5055.81,0.02418,0.95855,1,0.16457,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,5098.28,0.02287,0.95855,1,0.16407,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,5141.02,0.02295,0.95855,1,0.16454,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,5183.7,0.02061,0.95855,1,0.16803,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,5226.12,0.02103,0.95855,1,0.16531,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,5268.7,0.01966,0.95908,1,0.16589,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,5311.54,0.02072,0.95908,1,0.16601,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
